                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     685670 |     706322 |     766634 |     783037 |     648769 |     721073 |     642561 |     645262 |     753672 |     732032 |     734193 |     618192 |     603608 |     710026 |     674137 |     642559
  Cycles                             |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536 |    6319536
  IPC                                |       0.11 |       0.11 |       0.12 |       0.12 |       0.10 |       0.11 |       0.10 |       0.10 |       0.12 |       0.12 |       0.12 |       0.10 |       0.10 |       0.11 |       0.11 |       0.10
  Time (ns)                          |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766 |    2375766
  Idle time (ns)                     |     233482 |     241194 |     110775 |     123786 |     297891 |      99540 |     292168 |     377667 |     110463 |     229285 |     215050 |     594742 |     465585 |      83341 |     199713 |     359021
  Idle time (%)                      |       9.8% |      10.2% |       4.7% |       5.2% |      12.5% |       4.2% |      12.3% |      15.9% |       4.6% |       9.7% |       9.1% |      25.0% |      19.6% |       3.5% |       8.4% |      15.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     113408 |     117534 |     129629 |     132876 |     106041 |     120483 |     104804 |     105330 |     127020 |     122675 |     123112 |      99929 |      97010 |     118296 |     111098 |     104806
  num incorrect                      |        146 |        143 |        114 |        147 |        128 |        148 |        124 |        138 |        130 |        146 |        141 |        126 |        126 |        123 |        142 |        122
  misprediction rate                 |      0.13% |      0.12% |      0.09% |      0.11% |      0.12% |      0.12% |      0.12% |      0.13% |      0.10% |      0.12% |      0.11% |      0.13% |      0.13% |      0.10% |      0.13% |      0.12%
  mpki                               |       0.21 |       0.20 |       0.15 |       0.19 |       0.20 |       0.21 |       0.19 |       0.21 |       0.17 |       0.20 |       0.19 |       0.20 |       0.21 |       0.17 |       0.21 |       0.19
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31010 |      31024 |      31014 |      31019 |      31019 |      31014 |      31014 |      31019 |      31014 |      31019 |      31019 |      31014 |      31019 |      31020 |      31022 |      31014
    num cache misses                 |         11 |         16 |         15 |         16 |         16 |         15 |         15 |         16 |         15 |         16 |         16 |         13 |         16 |         16 |         16 |         15
    miss rate                        |      0.04% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     425661 |     438049 |     474239 |     484078 |     403516 |     446904 |     399796 |     401413 |     466461 |     453475 |     454772 |     385173 |     376421 |     440271 |     418738 |     399794
    num cache misses                 |      75027 |      64127 |      69740 |      69708 |      56034 |      61131 |      56034 |      55058 |      76823 |      65605 |      65986 |      54070 |      51608 |      60357 |      58080 |      55145
    miss rate                        |     17.63% |     14.64% |     14.71% |     14.40% |     13.89% |     13.68% |     14.02% |     13.72% |     16.47% |     14.47% |     14.51% |     14.04% |     13.71% |     13.71% |     13.87% |     13.79%
    mpki                             |     109.42 |      90.79 |      90.97 |      89.02 |      86.37 |      84.78 |      87.20 |      85.33 |     101.93 |      89.62 |      89.88 |      87.46 |      85.50 |      85.01 |      86.15 |      85.82
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      75329 |      64384 |      70010 |      69960 |      56284 |      61405 |      56249 |      55297 |      77235 |      65915 |      66261 |      54333 |      51870 |      60648 |      58370 |      55407
    num cache misses                 |      57213 |      50926 |      53849 |      54233 |      48407 |      53030 |      47736 |      46891 |      60467 |      52072 |      52321 |      42988 |      44035 |      51662 |      48921 |      46264
    miss rate                        |     75.95% |     79.10% |     76.92% |     77.52% |     86.00% |     86.36% |     84.87% |     84.80% |     78.29% |     79.00% |     78.96% |     79.12% |     84.89% |     85.18% |     83.81% |     83.50%
    mpki                             |      83.44 |      72.10 |      70.24 |      69.26 |      74.61 |      73.54 |      74.29 |      72.67 |      80.23 |      71.13 |      71.26 |      69.54 |      72.95 |      72.76 |      72.57 |      72.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      57537 |      51149 |      54094 |      54443 |      48618 |      53265 |      47918 |      47082 |      60879 |      52346 |      52572 |      43232 |      44270 |      51920 |      49173 |      46485
    num cache misses                 |      38277 |      39711 |      41820 |      42332 |      35315 |      39165 |      36423 |      36700 |      41316 |      40988 |      40730 |      34012 |      32185 |      38656 |      37236 |      36197
    miss rate                        |     66.53% |     77.64% |     77.31% |     77.75% |     72.64% |     73.53% |     76.01% |     77.95% |     67.87% |     78.30% |     77.47% |     78.67% |     72.70% |     74.45% |     75.72% |     77.87%
    mpki                             |      55.82 |      56.22 |      54.55 |      54.06 |      54.43 |      54.31 |      56.68 |      56.88 |      54.82 |      55.99 |      55.48 |      55.02 |      53.32 |      54.44 |      55.24 |      56.33
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     102.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      48.58 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          3 |          4 |          3 |          4 |          5 |          3 |          3 |          4 |          2 |          4 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      11276 |      12763 |      13044 |      12946 |      14554 |      15287 |      13859 |      13505 |      10550 |      10641 |      11172 |       9325 |      13078 |      15743 |      14985 |      13724
