                                     | Core 0     | Core 1    
  Instructions                       |      87078 |      86158
  Cycles                             |     549733 |     549733
  IPC                                |       0.16 |       0.16
  Time (ns)                          |     206667 |     206667
  Idle time (ns)                     |     184496 |     185287
  Idle time (%)                      |      89.3% |      89.7%
Branch predictor stats               |            |           
  num correct                        |       9274 |       9127
  num incorrect                      |        234 |        237
  misprediction rate                 |      2.46% |      2.53%
  mpki                               |       2.69 |       2.75
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      16368 |      16250
    num cache misses                 |         65 |         65
    miss rate                        |      0.40% |      0.40%
    mpki                             |       0.75 |       0.75
  Cache L1-D                         |            |           
    num cache accesses               |      49670 |      49304
    num cache misses                 |       1463 |       1462
    miss rate                        |      2.95% |      2.97%
    mpki                             |      16.80 |      16.97
  Cache L2                           |            |           
    num cache accesses               |       1920 |       1914
    num cache misses                 |         82 |         83
    miss rate                        |      4.27% |      4.34%
    mpki                             |       0.94 |       0.96
  Cache L3                           |            |           
    num cache accesses               |         87 |         89
    num cache misses                 |         82 |         83
    miss rate                        |     94.25% |     93.26%
    mpki                             |       0.94 |       0.96
DRAM summary                         |            |           
  num dram accesses                  |        162 |          0
  average dram access latency (ns)   |     162.66 |        inf
  average dram queueing delay        |     109.23 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         40 |         29
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
