                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     176995 |     201661 |     215792 |     172466
  Cycles                             |     321517 |     321517 |     321517 |     321517
  IPC                                |       0.55 |       0.63 |       0.67 |       0.54
  Time (ns)                          |     120871 |     120871 |     120871 |     120871
  Idle time (ns)                     |      86708 |      82058 |      79770 |      87567
  Idle time (%)                      |      71.7% |      67.9% |      66.0% |      72.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      31667 |      37832 |      41383 |      30533
  num incorrect                      |         95 |         95 |         79 |        101
  misprediction rate                 |      0.30% |      0.25% |      0.19% |      0.33%
  mpki                               |       0.54 |       0.47 |       0.37 |       0.59
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      13029 |      13030 |      13026 |      13016
    num cache misses                 |         13 |         14 |         14 |         12
    miss rate                        |      0.10% |      0.11% |      0.11% |      0.09%
    mpki                             |       0.07 |       0.07 |       0.06 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      98551 |     110882 |     117949 |      96287
    num cache misses                 |       4191 |       4397 |       4454 |       3406
    miss rate                        |      4.25% |      3.97% |      3.78% |      3.54%
    mpki                             |      23.68 |      21.80 |      20.64 |      19.75
  Cache L2                           |            |            |            |           
    num cache accesses               |       5669 |       5246 |       5083 |       4582
    num cache misses                 |          9 |          9 |         13 |         10
    miss rate                        |      0.16% |      0.17% |      0.26% |      0.22%
    mpki                             |       0.05 |       0.04 |       0.06 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |         10 |         10 |         15 |         12
    num cache misses                 |          9 |          9 |         13 |         10
    miss rate                        |     90.00% |     90.00% |     86.67% |     83.33%
    mpki                             |       0.05 |       0.04 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |      92.42 |        inf |        inf |        inf
  average dram queueing delay        |      38.99 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          2 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
