                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       2.63 |       2.67 |       2.55 |       2.68 |       2.66 |       2.52 |       2.47 |       2.63 |       2.47 |       2.45 |       2.44 |       2.60 |       2.64 |       2.54 |       2.54 |       2.47
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20482 |      20587 |      19382 |      21080 |      20443 |      16800 |      16085 |      20025 |      16442 |      17357 |      16460 |      20264 |      20889 |      19595 |      20357 |      16349
    num cache misses                 |      10194 |      10318 |       9540 |      10728 |      10759 |       8151 |       7734 |      10482 |       7573 |       8192 |       7682 |      11137 |      10895 |       9872 |      10427 |       7834
    miss rate                        |     49.77% |     50.12% |     49.22% |     50.89% |     52.63% |     48.52% |     48.08% |     52.34% |     46.06% |     47.20% |     46.67% |     54.96% |     52.16% |     50.38% |     51.22% |     47.92%
    mpki                             |       1.43 |       1.46 |       1.38 |       1.48 |       1.53 |       1.36 |       1.33 |       1.50 |       1.28 |       1.28 |       1.27 |       1.56 |       1.49 |       1.40 |       1.40 |       1.32
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11841 |      11935 |      11107 |      12308 |      12408 |       9797 |       9378 |      12092 |       9244 |       9801 |       9283 |      12715 |      12389 |      11527 |      11634 |       9449
    num cache misses                 |       8625 |       8952 |       8222 |       9393 |       8892 |       6896 |       6597 |       8727 |       6301 |       7008 |       6621 |       8997 |       9327 |       8429 |       9067 |       6560
    miss rate                        |     72.84% |     75.01% |     74.03% |     76.32% |     71.66% |     70.39% |     70.35% |     72.17% |     68.16% |     71.50% |     71.32% |     70.76% |     75.28% |     73.12% |     77.94% |     69.43%
    mpki                             |       1.21 |       1.27 |       1.19 |       1.30 |       1.26 |       1.15 |       1.14 |       1.25 |       1.06 |       1.10 |       1.10 |       1.26 |       1.28 |       1.20 |       1.22 |       1.11
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        102 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      83.89 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      30.46 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          4 |          4 |          4 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3685 |       3416 |       2858 |       3244 |       3730 |       2825 |       2556 |       3141 |       2749 |       2743 |       2396 |       3818 |       4131 |       3337 |       3335 |       2170
