                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    7105621 |    7060167 |    6908278 |    7229433 |    7040658 |    5985729 |    5801583 |    6968064 |    5920602 |    6384335 |    6038503 |    7148771 |    7311704 |    7032424 |    7459633 |    5926026
  Cycles                             |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975 |    5301975
  IPC                                |       1.34 |       1.33 |       1.30 |       1.36 |       1.33 |       1.13 |       1.09 |       1.31 |       1.12 |       1.20 |       1.14 |       1.35 |       1.38 |       1.33 |       1.41 |       1.12
  Time (ns)                          |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224 |    1993224
  Idle time (ns)                     |     167243 |     160079 |     226198 |     109590 |     143598 |     451469 |     503626 |     159187 |     498455 |     386944 |     469575 |     142868 |     101313 |     174403 |      87227 |     462698
  Idle time (%)                      |       8.4% |       8.0% |      11.3% |       5.5% |       7.2% |      22.7% |      25.3% |       8.0% |      25.0% |      19.4% |      23.6% |       7.2% |       5.1% |       8.7% |       4.4% |      23.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1743535 |    1732168 |    1694176 |    1774466 |    1727290 |    1463562 |    1417511 |    1709104 |    1447285 |    1563233 |    1476736 |    1754307 |    1795029 |    1725227 |    1832033 |    1448621
  num incorrect                      |        126 |        131 |        145 |        148 |        131 |        129 |        148 |        167 |        128 |        108 |        146 |        146 |        150 |        134 |        131 |        141
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31038 |      31041 |      31054 |      31045 |      31043 |      31037 |      31025 |      31047 |      31027 |      31041 |      31039 |      31033 |      31051 |      31047 |      31042 |      31043
    num cache misses                 |         14 |         15 |         14 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         16 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3585360 |    3562634 |    3486682 |    3647266 |    3552879 |    3025416 |    2933346 |    3516581 |    2992855 |    3224718 |    3051803 |    3606938 |    3688399 |    3548761 |    3762366 |    2995561
    num cache misses                 |      18666 |      18844 |      17646 |      19358 |      18732 |      15056 |      14350 |      18333 |      14627 |      15659 |      14760 |      18572 |      19270 |      17836 |      18972 |      14647
    miss rate                        |      0.52% |      0.53% |      0.51% |      0.53% |      0.53% |      0.50% |      0.49% |      0.52% |      0.49% |      0.49% |      0.48% |      0.51% |      0.52% |      0.50% |      0.50% |      0.49%
