                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5789759 |    5397529 |    6724877 |    6180486 |    6418702 |    6212451 |    6042534 |    6212432
  Cycles                             |   29121969 |   29121969 |   29121969 |   29121969 |   29121969 |   29121969 |   29121969 |   29121969
  IPC                                |       0.20 |       0.19 |       0.23 |       0.21 |       0.22 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   10948109 |   10948109 |   10948109 |   10948109 |   10948109 |   10948109 |   10948109 |   10948109
  Idle time (ns)                     |      81005 |    1084233 |     278709 |    1304379 |      84850 |     532101 |    1196492 |    2033135
  Idle time (%)                      |       0.7% |       9.9% |       2.5% |      11.9% |       0.8% |       4.9% |      10.9% |      18.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     990266 |     911830 |    1177294 |    1068425 |    1116049 |    1074817 |    1040829 |    1074813
  num incorrect                      |        103 |         94 |        102 |         91 |        111 |         93 |         99 |         93
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.01 |       0.02 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211012 |     211010 |     211006 |     211008 |     211011 |     211009 |     211006 |     211009
    num cache misses                 |         12 |         12 |         10 |         12 |         11 |         11 |         10 |         11
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3596114 |    3360774 |    4157188 |    3830552 |    3973479 |    3849730 |    3747783 |    3849719
    num cache misses                 |     575750 |     432214 |     533108 |     461522 |     463481 |     470862 |     451386 |     430283
    miss rate                        |     16.01% |     12.86% |     12.82% |     12.05% |     11.66% |     12.23% |     12.04% |     11.18%
    mpki                             |      99.44 |      80.08 |      79.27 |      74.67 |      72.21 |      75.79 |      74.70 |      69.26
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     575884 |     432260 |     533168 |     461565 |     463548 |     470907 |     451425 |     430327
    num cache misses                 |     273485 |     203015 |     223039 |     201025 |     250008 |     237095 |     219488 |     194133
    miss rate                        |     47.49% |     46.97% |     41.83% |     43.55% |     53.93% |     50.35% |     48.62% |     45.11%
    mpki                             |      47.24 |      37.61 |      33.17 |      32.53 |      38.95 |      38.16 |      36.32 |      31.25
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     273697 |     203054 |     223088 |     201055 |     250070 |     237132 |     219519 |     194165
    num cache misses                 |         11 |         12 |          4 |         12 |          4 |          4 |          4 |          6
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         51 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      80.36 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      26.93 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          2 |          3 |          3 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
