                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   43110653 |   46601309 |   46533123 |   42692623 |   36406986 |   43720165 |   46582684 |   46418786
  Cycles                             |   26643229 |   26643229 |   26643229 |   26643229 |   26643229 |   26643229 |   26643229 |   26643229
  IPC                                |       1.62 |       1.75 |       1.75 |       1.60 |       1.37 |       1.64 |       1.75 |       1.74
  Time (ns)                          |   10016252 |   10016252 |   10016252 |   10016252 |   10016252 |   10016252 |   10016252 |   10016252
  Idle time (ns)                     |     730510 |      82000 |     109906 |     859624 |    2039315 |     660782 |     125736 |     153140
  Idle time (%)                      |       7.3% |       0.8% |       1.1% |       8.6% |      20.4% |       6.6% |       1.3% |       1.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10542112 |   11414760 |   11397726 |   10437621 |    8866228 |   10694474 |   11410130 |   11369121
  num incorrect                      |        299 |        313 |        306 |        290 |        264 |        315 |        291 |        330
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     211064 |     211066 |     211052 |     211047 |     211066 |     211055 |     211054 |     211042
    num cache misses                 |         15 |         12 |         15 |         14 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21812870 |   23558195 |   23524109 |   21603861 |   18461036 |   22117631 |   23548888 |   23466942
    num cache misses                 |       9717 |      10291 |      10148 |       9016 |       5317 |       6228 |       6606 |       6426
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.22 |       0.22 |       0.21 |       0.15 |       0.14 |       0.14 |       0.14
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10484 |      10829 |      10820 |       9634 |       7091 |       7978 |       8330 |       8204
    num cache misses                 |       3472 |       3101 |       2289 |       1516 |       1065 |       1029 |        990 |       1011
    miss rate                        |     33.12% |     28.64% |     21.16% |     15.74% |     15.02% |     12.90% |     11.88% |     12.32%
    mpki                             |       0.08 |       0.07 |       0.05 |       0.04 |       0.03 |       0.02 |       0.02 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3560 |       3144 |       2405 |       1604 |       2728 |       2680 |       2621 |       2686
    num cache misses                 |         13 |          5 |          5 |         11 |          9 |          5 |          8 |          9
    miss rate                        |      0.37% |      0.16% |      0.21% |      0.69% |      0.33% |      0.19% |      0.31% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         61 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     120.59 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      67.16 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          4 |          5 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
