                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3518982 |    3087960 |    3676623 |    3324932 |    2972099 |    3622329 |    3561043 |    3469228
  Cycles                             |    2458787 |    2458787 |    2458787 |    2458787 |    2458787 |    2458787 |    2458787 |    2458787
  IPC                                |       1.43 |       1.26 |       1.50 |       1.35 |       1.21 |       1.47 |       1.45 |       1.41
  Time (ns)                          |     924356 |     924356 |     924356 |     924356 |     924356 |     924356 |     924356 |     924356
  Idle time (ns)                     |      85148 |     200049 |      83028 |     166360 |     221910 |      89058 |     117228 |     130783
  Idle time (%)                      |       9.2% |      21.6% |       9.0% |      18.0% |      24.0% |       9.6% |      12.7% |      14.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     846851 |     739084 |     886249 |     798328 |     710144 |     872673 |     857369 |     834404
  num incorrect                      |        156 |        166 |        162 |        158 |        136 |        168 |        143 |        155
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31038 |      31037 |      31044 |      31051 |      31043 |      31045 |      31057 |      31055
    num cache misses                 |         10 |         12 |         15 |         15 |         14 |         13 |         15 |         15
    miss rate                        |      0.03% |      0.04% |      0.05% |      0.05% |      0.05% |      0.04% |      0.05% |      0.05%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1792039 |    1576526 |    1870861 |    1695013 |    1518600 |    1843713 |    1813068 |    1767161
    num cache misses                 |       8509 |       7020 |       8359 |       7174 |       6070 |       7507 |       7024 |       6529
    miss rate                        |      0.47% |      0.45% |      0.45% |      0.42% |      0.40% |      0.41% |      0.39% |      0.37%
    mpki                             |       2.42 |       2.27 |       2.27 |       2.16 |       2.04 |       2.07 |       1.97 |       1.88
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10011 |       8213 |       9335 |       8328 |       7255 |       8734 |       8176 |       7893
    num cache misses                 |       2794 |       1724 |       1758 |       1288 |       1752 |       1891 |       1433 |       1423
    miss rate                        |     27.91% |     20.99% |     18.83% |     15.47% |     24.15% |     21.65% |     17.53% |     18.03%
    mpki                             |       0.79 |       0.56 |       0.48 |       0.39 |       0.59 |       0.52 |       0.40 |       0.41
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3667 |       2358 |       2352 |       1907 |       2657 |       2794 |       2271 |       2562
    num cache misses                 |          8 |          8 |         10 |          5 |          5 |         13 |          5 |          8
    miss rate                        |      0.22% |      0.34% |      0.43% |      0.26% |      0.19% |      0.47% |      0.22% |      0.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         58 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      94.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      41.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          3 |          4 |          5 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
