                                     | Core 0     | Core 1    
  Instructions                       |     119259 |     115673
  Cycles                             |     266501 |     266501
  IPC                                |       0.45 |       0.43
  Time (ns)                          |     100189 |     100189
  Idle time (ns)                     |      80278 |      80962
  Idle time (%)                      |      80.1% |      80.8%
Branch predictor stats               |            |           
  num correct                        |      14620 |      13915
  num incorrect                      |         49 |         40
  misprediction rate                 |      0.33% |      0.29%
  mpki                               |       0.41 |       0.35
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13012 |      13011
    num cache misses                 |         12 |         11
    miss rate                        |      0.09% |      0.08%
    mpki                             |       0.10 |       0.10
  Cache L1-D                         |            |           
    num cache accesses               |      75014 |      72862
    num cache misses                 |       4912 |       4858
    miss rate                        |      6.55% |      6.67%
    mpki                             |      41.19 |      42.00
  Cache L2                           |            |           
    num cache accesses               |       5043 |       5041
    num cache misses                 |         21 |          6
    miss rate                        |      0.42% |      0.12%
    mpki                             |       0.18 |       0.05
  Cache L3                           |            |           
    num cache accesses               |         23 |          8
    num cache misses                 |         21 |          6
    miss rate                        |     91.30% |     75.00%
    mpki                             |       0.18 |       0.05
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      97.76 |        inf
  average dram queueing delay        |      44.33 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
