                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     223326 |     222632 |     223167 |     223835 |     222223 |     222384 |     220243 |     223448 |     223425 |     221910 |     222213 |     220740 |     224392 |     221903 |     222945 |     224492
  Cycles                             |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397 |   10844397
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841 |    4076841
  Idle time (ns)                     |    3868345 |    3865386 |    3868178 |    3865645 |    3869910 |    3869809 |    3877912 |    3866344 |    3873056 |    3873961 |    3875416 |    3877549 |    3870632 |    3872146 |    3871791 |    3864185
  Idle time (%)                      |      94.9% |      94.8% |      94.9% |      94.8% |      94.9% |      94.9% |      95.1% |      94.8% |      95.0% |      95.0% |      95.1% |      95.1% |      94.9% |      95.0% |      95.0% |      94.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19015 |      18954 |      19047 |      19015 |      18974 |      19065 |      18775 |      19058 |      19025 |      18875 |      18957 |      18822 |      19210 |      18918 |      19041 |      19076
  num incorrect                      |        595 |        582 |        557 |        601 |        547 |        553 |        568 |        576 |        591 |        515 |        543 |        548 |        585 |        573 |        600 |        594
  misprediction rate                 |      3.03% |      2.98% |      2.84% |      3.06% |      2.80% |      2.82% |      2.94% |      2.93% |      3.01% |      2.66% |      2.78% |      2.83% |      2.96% |      2.94% |      3.05% |      3.02%
  mpki                               |       2.66 |       2.61 |       2.50 |       2.69 |       2.46 |       2.49 |       2.58 |       2.58 |       2.65 |       2.32 |       2.44 |       2.48 |       2.61 |       2.58 |       2.69 |       2.65
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38893 |      38787 |      38837 |      39056 |      38669 |      38521 |      38326 |      38882 |      38911 |      38747 |      38701 |      38453 |      38968 |      38619 |      38673 |      39177
    num cache misses                 |         66 |         65 |         65 |         66 |         65 |         65 |         64 |         65 |         65 |         21 |         65 |         65 |         65 |         65 |         65 |         65
    miss rate                        |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.05% |      0.17% |      0.17% |      0.17% |      0.17% |      0.17% |      0.17%
    mpki                             |       0.30 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.09 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     138872 |     138588 |     138784 |     139098 |     138403 |     138403 |     137601 |     138904 |     138905 |     138312 |     138405 |     137820 |     139260 |     138277 |     138643 |     139363
    num cache misses                 |       3817 |       3694 |       3684 |       3845 |       3711 |       3587 |       3300 |       3767 |       3793 |       3550 |       3563 |       3429 |       3710 |       3548 |       3675 |       3879
    miss rate                        |      2.75% |      2.67% |      2.65% |      2.76% |      2.68% |      2.59% |      2.40% |      2.71% |      2.73% |      2.57% |      2.57% |      2.49% |      2.66% |      2.57% |      2.65% |      2.78%
    mpki                             |      17.09 |      16.59 |      16.51 |      17.18 |      16.70 |      16.13 |      14.98 |      16.86 |      16.98 |      16.00 |      16.03 |      15.53 |      16.53 |      15.99 |      16.48 |      17.28
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4761 |       4590 |       4567 |       4839 |       4632 |       4464 |       4185 |       4692 |       4733 |       4441 |       4475 |       4315 |       4653 |       4446 |       4627 |       4859
    num cache misses                 |       3019 |       3039 |       3051 |       3118 |       3084 |       2954 |       2725 |       3160 |       3047 |       2885 |       2927 |       2816 |       3008 |       2933 |       2967 |       3168
    miss rate                        |     63.41% |     66.21% |     66.81% |     64.43% |     66.58% |     66.17% |     65.11% |     67.35% |     64.38% |     64.96% |     65.41% |     65.26% |     64.65% |     65.97% |     64.12% |     65.20%
    mpki                             |      13.52 |      13.65 |      13.67 |      13.93 |      13.88 |      13.28 |      12.37 |      14.14 |      13.64 |      13.00 |      13.17 |      12.76 |      13.41 |      13.22 |      13.31 |      14.11
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3809 |       3785 |       3783 |       3912 |       3860 |       3667 |       3473 |       3944 |       3837 |       3658 |       3679 |       3555 |       3800 |       3697 |       3738 |       3992
    num cache misses                 |       2239 |       2280 |       2217 |       2331 |       2200 |       2150 |       2011 |       2407 |       2100 |       2121 |       2123 |       2121 |       2220 |       2134 |       2215 |       2324
    miss rate                        |     58.78% |     60.24% |     58.60% |     59.59% |     56.99% |     58.63% |     57.90% |     61.03% |     54.73% |     57.98% |     57.71% |     59.66% |     58.42% |     57.72% |     59.26% |     58.22%
    mpki                             |      10.03 |      10.24 |       9.93 |      10.41 |       9.90 |       9.67 |       9.13 |      10.77 |       9.40 |       9.56 |       9.55 |       9.61 |       9.89 |       9.62 |       9.94 |      10.35
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        405 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     425.50 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     372.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          8 |         11 |          7 |          5 |          6 |          5 |         10 |          7 |          5 |          7 |         19 |         33 |         13 |          7 |          6
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1071 |       1099 |       1086 |       1137 |       1127 |       1053 |        998 |       1189 |       1052 |       1073 |       1048 |        991 |       1067 |       1076 |       1087 |       1117
