                                     | Core 0     | Core 1    
  Instructions                       |    7701484 |    7535338
  Cycles                             |    6856744 |    6856744
  IPC                                |       1.12 |       1.10
  Time (ns)                          |    2577724 |    2577724
  Idle time (ns)                     |      77593 |     109140
  Idle time (%)                      |       3.0% |       4.2%
Branch predictor stats               |            |           
  num correct                        |    1690220 |    1648678
  num incorrect                      |        169 |        172
  misprediction rate                 |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     210012 |     210015
    num cache misses                 |         11 |         11
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4108797 |    4025724
    num cache misses                 |       1939 |       1926
    miss rate                        |      0.05% |      0.05%
    mpki                             |       0.25 |       0.26
  Cache L2                           |            |           
    num cache accesses               |       2907 |       2907
    num cache misses                 |         10 |         16
    miss rate                        |      0.34% |      0.55%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         12 |         18
    num cache misses                 |         10 |         16
    miss rate                        |     83.33% |     88.89%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |     115.62 |        inf
  average dram queueing delay        |      62.19 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
