                                     | Core 0     | Core 1    
  Instructions                       |     102478 |     103076
  Cycles                             |     261239 |     261239
  IPC                                |       0.39 |       0.39
  Time (ns)                          |      98210 |      98210
  Idle time (ns)                     |      78719 |      78539
  Idle time (%)                      |      80.2% |      80.0%
Branch predictor stats               |            |           
  num correct                        |      13300 |      13445
  num incorrect                      |         90 |         89
  misprediction rate                 |      0.67% |      0.66%
  mpki                               |       0.88 |       0.86
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12011 |      12016
    num cache misses                 |         11 |         12
    miss rate                        |      0.09% |      0.10%
    mpki                             |       0.11 |       0.12
  Cache L1-D                         |            |           
    num cache accesses               |      61794 |      62094
    num cache misses                 |       1506 |       1494
    miss rate                        |      2.44% |      2.41%
    mpki                             |      14.70 |      14.49
  Cache L2                           |            |           
    num cache accesses               |       2186 |       2189
    num cache misses                 |          6 |         20
    miss rate                        |      0.27% |      0.91%
    mpki                             |       0.06 |       0.19
  Cache L3                           |            |           
    num cache accesses               |          8 |         22
    num cache misses                 |          6 |         20
    miss rate                        |     75.00% |     90.91%
    mpki                             |       0.06 |       0.19
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      90.94 |        inf
  average dram queueing delay        |      37.51 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          2 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
