                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   96593286 |   84642460 |   95167100 |   93405972 |   86828378 |   76590386 |   96294560 |   91435508 |   87276778 |   98403413 |   96121635 |   78078510 |   91562946 |   93493480 |   97824653 |   93890466
  Cycles                             |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838 |   53422838
  IPC                                |       1.81 |       1.58 |       1.78 |       1.75 |       1.63 |       1.43 |       1.80 |       1.71 |       1.63 |       1.84 |       1.80 |       1.46 |       1.71 |       1.75 |       1.83 |       1.76
  Time (ns)                          |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774 |   20083774
  Idle time (ns)                     |     425896 |    2749100 |     711637 |    1056401 |    2318754 |    4297651 |     461700 |    1442497 |    2231183 |      83340 |     505552 |    4010915 |    1412156 |    1032248 |     175814 |     961636
  Idle time (%)                      |       2.1% |      13.7% |       3.5% |       5.3% |      11.5% |      21.4% |       2.3% |       7.2% |      11.1% |       0.4% |       2.5% |      20.0% |       7.0% |       5.1% |       0.9% |       4.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   23913045 |   20925339 |   23556451 |   23116181 |   21471811 |   18912339 |   23838332 |   22623570 |   21583921 |   24365543 |   23795099 |   19284369 |   22655455 |   23138078 |   24220866 |   23237302
  num incorrect                      |        288 |        285 |        323 |        311 |        284 |        267 |        318 |        305 |        281 |        313 |        317 |        271 |        287 |        308 |        300 |        323
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     210010 |     210020 |     210025 |     210024 |     210029 |     210019 |     210019 |     210029 |     210019 |     210020 |     210021 |     210011 |     210019 |     210013 |     210025 |     210020
    num cache misses                 |         10 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         10 |         15 |         13 |         15 |         15
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01%
