                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   48554698 |   42579285 |   47841605 |   46961039 |   43672243 |   38553249 |   48405335 |   45975808 |   43896444 |   49459761 |   48318871 |   39297308 |   46039529 |   47004797 |   49170381 |   47203287
    num cache misses                 |      24112 |      20793 |      23613 |      23021 |      21344 |      18746 |      23840 |      22333 |      21541 |      24345 |      23824 |      19074 |      22336 |      22798 |      24109 |      22795
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.24 |       0.25 |       0.24 |       0.25 |       0.25 |       0.25 |       0.24 |       0.24 |       0.24 |       0.25 |       0.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25971 |      22611 |      25428 |      24797 |      23102 |      20490 |      25584 |      24059 |      23484 |      25919 |      25670 |      20912 |      24128 |      24594 |      25887 |      24590
    num cache misses                 |      10838 |       8765 |      10379 |       9957 |       9215 |       7925 |      11259 |       9676 |       9231 |      10803 |      10723 |       7936 |       9554 |       9726 |      10753 |       9710
    miss rate                        |     41.73% |     38.76% |     40.82% |     40.15% |     39.89% |     38.68% |     44.01% |     40.22% |     39.31% |     41.68% |     41.77% |     37.95% |     39.60% |     39.55% |     41.54% |     39.49%
    mpki                             |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.10 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12565 |      10449 |      12044 |      11585 |      10872 |       9553 |      12920 |      11315 |      11027 |      12264 |      12446 |       9635 |      11248 |      11419 |      12454 |      11405
    num cache misses                 |       9093 |       7369 |       8800 |       8474 |       7523 |       6548 |       9063 |       7943 |       7498 |       8717 |       8870 |       6611 |       7899 |       8077 |       8771 |       8092
    miss rate                        |     72.37% |     70.52% |     73.07% |     73.15% |     69.20% |     68.54% |     70.15% |     70.20% |     68.00% |     71.08% |     71.27% |     68.61% |     70.23% |     70.73% |     70.43% |     70.95%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09 |       0.09 |       0.09 |       0.09
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         99 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     100.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      46.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          6 |          3 |          3 |          3 |          2 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4087 |       2901 |       3326 |       2907 |       3245 |       2625 |       3821 |       2898 |       3390 |       3595 |       3401 |       2286 |       3397 |       3237 |       3391 |       2735
