                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   41413335 |   45316322 |   46593873 |   46797074 |   44308880 |   39304430 |   45375990 |   45606768
  Cycles                             |   26639274 |   26639274 |   26639274 |   26639274 |   26639274 |   26639274 |   26639274 |   26639274
  IPC                                |       1.55 |       1.70 |       1.75 |       1.76 |       1.66 |       1.48 |       1.70 |       1.71
  Time (ns)                          |   10014765 |   10014765 |   10014765 |   10014765 |   10014765 |   10014765 |   10014765 |   10014765
  Idle time (ns)                     |    1054061 |     336506 |     103917 |      80975 |     543065 |    1493556 |     351419 |     308211
  Idle time (%)                      |      10.5% |       3.4% |       1.0% |       0.8% |       5.4% |      14.9% |       3.5% |       3.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10118046 |   11093807 |   11413192 |   11463968 |   10841933 |    9590821 |   11108732 |   11166402
  num incorrect                      |        294 |        282 |        285 |        304 |        300 |        293 |        276 |        299
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     210020 |     210020 |     210018 |     210020 |     210014 |     210019 |     210016 |     210015
    num cache misses                 |         15 |         15 |         15 |         15 |         14 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   20964721 |   22916219 |   23554992 |   23656591 |   22412495 |   19910271 |   22946051 |   23061440
    num cache misses                 |       8486 |       9061 |       9140 |       9205 |       6981 |       6103 |       6963 |       6813
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.20 |       0.20 |       0.20 |       0.20 |       0.16 |       0.16 |       0.15 |       0.15
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       9555 |       9757 |      10012 |       9774 |       8634 |       7710 |       8495 |       8326
    num cache misses                 |       3065 |       2536 |       2035 |       1517 |       1344 |       1209 |       1164 |       1117
    miss rate                        |     32.08% |     25.99% |     20.33% |     15.52% |     15.57% |     15.68% |     13.70% |     13.42%
    mpki                             |       0.07 |       0.06 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3554 |       2731 |       2377 |       1733 |       2844 |       2592 |       2470 |       2489
    num cache misses                 |         11 |          5 |         15 |          6 |          8 |          9 |          5 |          5
    miss rate                        |      0.31% |      0.18% |      0.63% |      0.35% |      0.28% |      0.35% |      0.20% |      0.20%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         61 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     105.34 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      51.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          3 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
