                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     501771 |     523977 |     481453 |     611844 |     556776 |     548058 |     545213 |     591453
  Cycles                             |    3021383 |    3021383 |    3021383 |    3021383 |    3021383 |    3021383 |    3021383 |    3021383
  IPC                                |       0.17 |       0.17 |       0.16 |       0.20 |       0.18 |       0.18 |       0.18 |       0.20
  Time (ns)                          |    1135858 |    1135858 |    1135858 |    1135858 |    1135858 |    1135858 |    1135858 |    1135858
  Idle time (ns)                     |      89280 |     125553 |     256506 |     101386 |      80988 |     121872 |     218591 |     223527
  Idle time (%)                      |       7.9% |      11.1% |      22.6% |       8.9% |       7.1% |      10.7% |      19.2% |      19.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      76665 |      81110 |      72591 |      98676 |      87666 |      85915 |      85324 |      94593
  num incorrect                      |        103 |        105 |        116 |        108 |        105 |        112 |        132 |        117
  misprediction rate                 |      0.13% |      0.13% |      0.16% |      0.11% |      0.12% |      0.13% |      0.15% |      0.12%
  mpki                               |       0.21 |       0.20 |       0.24 |       0.18 |       0.19 |       0.20 |       0.24 |       0.20
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      31020 |      31009 |      31014 |      31019 |      31015 |      31017 |      31019 |      31012
    num cache misses                 |         16 |         11 |         15 |         16 |         13 |         16 |         15 |         13
    miss rate                        |      0.05% |      0.04% |      0.05% |      0.05% |      0.04% |      0.05% |      0.05% |      0.04%
    mpki                             |       0.03 |       0.02 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     315316 |     328646 |     303132 |     381361 |     348321 |     343091 |     341386 |     369134
    num cache misses                 |      53006 |      43240 |      38762 |      48897 |      43753 |      43656 |      41451 |      43291
    miss rate                        |     16.81% |     13.16% |     12.79% |     12.82% |     12.56% |     12.72% |     12.14% |     11.73%
    mpki                             |     105.64 |      82.52 |      80.51 |      79.92 |      78.58 |      79.66 |      76.03 |      73.19
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      53181 |      43320 |      38814 |      48969 |      43822 |      43717 |      41509 |      43345
    num cache misses                 |      28748 |      22717 |      20153 |      23664 |      26459 |      24911 |      22093 |      21993
    miss rate                        |     54.06% |     52.44% |     51.92% |     48.32% |     60.38% |     56.98% |     53.22% |     50.74%
    mpki                             |      57.29 |      43.35 |      41.86 |      38.68 |      47.52 |      45.45 |      40.52 |      37.18
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      28977 |      22773 |      20199 |      23712 |      26525 |      24955 |      22139 |      22041
    num cache misses                 |         13 |          5 |          6 |         13 |          7 |          8 |          5 |         10
    miss rate                        |      0.04% |      0.02% |      0.03% |      0.05% |      0.03% |      0.03% |      0.02% |      0.05%
    mpki                             |       0.03 |       0.01 |       0.01 |       0.02 |       0.01 |       0.01 |       0.01 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     107.41 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      53.98 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          5 |          3 |          5 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
