                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     264812 |     249368 |     276833 |     223690 |     273453 |     248258 |     257151 |     285098 |     215398 |     260688 |     201988 |     246253 |     208178 |     279170 |     259009 |     227832
  Cycles                             |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191 |    2615191
  IPC                                |       0.10 |       0.10 |       0.11 |       0.09 |       0.10 |       0.09 |       0.10 |       0.11 |       0.08 |       0.10 |       0.08 |       0.09 |       0.08 |       0.11 |       0.10 |       0.09
  Time (ns)                          |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155 |     983155
  Idle time (ns)                     |     117086 |     191496 |     116454 |     323473 |     105454 |     167812 |     131198 |      97299 |     328798 |     179278 |     380278 |     200087 |     313971 |      96375 |     137382 |     254023
  Idle time (%)                      |      11.9% |      19.5% |      11.8% |      32.9% |      10.7% |      17.1% |      13.3% |       9.9% |      33.4% |      18.2% |      38.7% |      20.4% |      31.9% |       9.8% |      14.0% |      25.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      43725 |      40643 |      46130 |      35514 |      45464 |      40419 |      42198 |      47792 |      33846 |      42904 |      31174 |      40011 |      32408 |      46603 |      42561 |      36334
  num incorrect                      |         49 |         42 |         47 |         43 |         42 |         43 |         47 |         35 |         41 |         44 |         39 |         50 |         43 |         45 |         45 |         43
  misprediction rate                 |      0.11% |      0.10% |      0.10% |      0.12% |      0.09% |      0.11% |      0.11% |      0.07% |      0.12% |      0.10% |      0.12% |      0.12% |      0.13% |      0.10% |      0.11% |      0.12%
  mpki                               |       0.19 |       0.17 |       0.17 |       0.19 |       0.15 |       0.17 |       0.18 |       0.12 |       0.19 |       0.17 |       0.19 |       0.20 |       0.21 |       0.16 |       0.17 |       0.19
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13010 |      13019 |      13019 |      13016 |      13019 |      13019 |      13019 |      13019 |      13019 |      13019 |      13019 |      13019 |      13019 |      13020 |      13017 |      13018
    num cache misses                 |         11 |         16 |         16 |         13 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         15
    miss rate                        |      0.08% |      0.12% |      0.12% |      0.10% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.04 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.07 |       0.06 |       0.08 |       0.06 |       0.08 |       0.06 |       0.06 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     162321 |     153064 |     169541 |     137671 |     167528 |     152396 |     157747 |     174494 |     132674 |     159854 |     124649 |     151193 |     128363 |     170958 |     158831 |     140139
    num cache misses                 |      31153 |      24844 |      27489 |      21303 |      26100 |      23937 |      25075 |      26184 |      23701 |      25247 |      18875 |      23986 |      19416 |      25136 |      23962 |      20910
    miss rate                        |     19.19% |     16.23% |     16.21% |     15.47% |     15.58% |     15.71% |     15.90% |     15.01% |     17.86% |     15.79% |     15.14% |     15.86% |     15.13% |     14.70% |     15.09% |     14.92%
    mpki                             |     117.64 |      99.63 |      99.30 |      95.23 |      95.45 |      96.42 |      97.51 |      91.84 |     110.03 |      96.85 |      93.45 |      97.40 |      93.27 |      90.04 |      92.51 |      91.78
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      31466 |      25115 |      27760 |      21560 |      26392 |      24194 |      25334 |      26491 |      24039 |      25574 |      19200 |      24327 |      19712 |      25587 |      24288 |      21193
    num cache misses                 |      24792 |      20139 |      22385 |      17315 |      21866 |      20195 |      20919 |      21568 |      18788 |      20963 |      15569 |      19936 |      16724 |      21733 |      20337 |      17825
    miss rate                        |     78.79% |     80.19% |     80.64% |     80.31% |     82.85% |     83.47% |     82.57% |     81.42% |     78.16% |     81.97% |     81.09% |     81.95% |     84.84% |     84.94% |     83.73% |     84.11%
    mpki                             |      93.62 |      80.76 |      80.86 |      77.41 |      79.96 |      81.35 |      81.35 |      75.65 |      87.22 |      80.41 |      77.08 |      80.96 |      80.34 |      77.85 |      78.52 |      78.24
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      25105 |      20380 |      22632 |      17547 |      22115 |      20425 |      21147 |      21819 |      19123 |      21260 |      15867 |      20243 |      16995 |      22154 |      20624 |      18076
    num cache misses                 |      16118 |      15728 |      17014 |      13793 |      16127 |      15224 |      16069 |      17232 |      13244 |      16741 |      12345 |      15842 |      12586 |      17865 |      16620 |      14292
    miss rate                        |     64.20% |     77.17% |     75.18% |     78.61% |     72.92% |     74.54% |     75.99% |     78.98% |     69.26% |     78.74% |     77.80% |     78.26% |     74.06% |     80.64% |     80.59% |     79.07%
    mpki                             |      60.87 |      63.07 |      61.46 |      61.66 |      58.98 |      61.32 |      62.49 |      60.44 |      61.49 |      64.22 |      61.12 |      64.33 |      60.46 |      63.99 |      64.17 |      62.73
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      87.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      34.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          5 |          3 |          3 |          4 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       5133 |       5252 |       5599 |       4289 |       6008 |       5621 |       5909 |       5911 |       3541 |       4598 |       3610 |       4472 |       4996 |       5839 |       5691 |       5308
