                                     | Core 0     | Core 1    
  Instructions                       |     118101 |     112335
  Cycles                             |     264968 |     264968
  IPC                                |       0.45 |       0.42
  Time (ns)                          |      99612 |      99612
  Idle time (ns)                     |      77249 |      78349
  Idle time (%)                      |      77.5% |      78.7%
Branch predictor stats               |            |           
  num correct                        |      16981 |      15537
  num incorrect                      |         64 |         66
  misprediction rate                 |      0.38% |      0.42%
  mpki                               |       0.54 |       0.59
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      13012 |      13019
    num cache misses                 |         11 |         11
    miss rate                        |      0.08% |      0.08%
    mpki                             |       0.09 |       0.10
  Cache L1-D                         |            |           
    num cache accesses               |      69105 |      66224
    num cache misses                 |       1693 |       1247
    miss rate                        |      2.45% |      1.88%
    mpki                             |      14.34 |      11.10
  Cache L2                           |            |           
    num cache accesses               |       2180 |       2178
    num cache misses                 |         19 |          7
    miss rate                        |      0.87% |      0.32%
    mpki                             |       0.16 |       0.06
  Cache L3                           |            |           
    num cache accesses               |         21 |          9
    num cache misses                 |         19 |          7
    miss rate                        |     90.48% |     77.78%
    mpki                             |       0.16 |       0.06
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |     112.10 |        inf
  average dram queueing delay        |      58.67 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
