                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1394306 |    1394816 |    1393346 |    1393899 |    1392904 |    1392157 |    1394589 |    1394502
  Cycles                             |   50465631 |   50465631 |   50465631 |   50465631 |   50465631 |   50465631 |   50465631 |   50465631
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   18972042 |   18972042 |   18972042 |   18972042 |   18972042 |   18972042 |   18972042 |   18972042
  Idle time (ns)                     |   17578027 |   17576055 |   17582724 |   17581423 |   17580903 |   17587077 |   17577167 |   17577457
  Idle time (%)                      |      92.7% |      92.6% |      92.7% |      92.7% |      92.7% |      92.7% |      92.6% |      92.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     109109 |     109169 |     108990 |     109013 |     109232 |     108851 |     109135 |     109126
  num incorrect                      |        217 |        229 |        200 |        231 |        216 |        182 |        229 |        225
  misprediction rate                 |      0.20% |      0.21% |      0.18% |      0.21% |      0.20% |      0.17% |      0.21% |      0.21%
  mpki                               |       0.16 |       0.16 |       0.14 |       0.17 |       0.16 |       0.13 |       0.16 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     219685 |     219719 |     219623 |     219720 |     218927 |     219620 |     219708 |     219699
    num cache misses                 |         66 |         67 |         65 |         66 |         66 |         65 |         66 |         65
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     949449 |     949633 |     949101 |     949329 |     948685 |     948712 |     949554 |     949518
    num cache misses                 |       2167 |       2253 |       2055 |       2091 |       2190 |       1765 |       2217 |       2208
    miss rate                        |      0.23% |      0.24% |      0.22% |      0.22% |      0.23% |      0.19% |      0.23% |      0.23%
    mpki                             |       1.55 |       1.62 |       1.47 |       1.50 |       1.57 |       1.27 |       1.59 |       1.58
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2389 |       2478 |       2255 |       2314 |       2400 |       1941 |       2435 |       2422
    num cache misses                 |       1267 |       1311 |       1147 |       1154 |       1281 |       1067 |       1263 |       1272
    miss rate                        |     53.03% |     52.91% |     50.86% |     49.87% |     53.38% |     54.97% |     51.87% |     52.52%
    mpki                             |       0.91 |       0.94 |       0.82 |       0.83 |       0.92 |       0.77 |       0.91 |       0.91
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1357 |       1402 |       1219 |       1234 |       1373 |       1147 |       1345 |       1351
    num cache misses                 |         82 |         22 |         41 |         22 |         33 |         47 |         26 |         18
    miss rate                        |      6.04% |      1.57% |      3.36% |      1.78% |      2.40% |      4.10% |      1.93% |      1.33%
    mpki                             |       0.06 |       0.02 |       0.03 |       0.02 |       0.02 |       0.03 |       0.02 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        271 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     176.90 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     123.47 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |         30 |          7 |         19 |          7 |         10 |         22 |         13 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
