                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     268364 |     428557 |     343361 |     423067 |     443827 |     433598 |     354629 |     456074
  Cycles                             |     631891 |     631891 |     631891 |     631891 |     631891 |     631891 |     631891 |     631891
  IPC                                |       0.42 |       0.68 |       0.54 |       0.67 |       0.70 |       0.69 |       0.56 |       0.72
  Time (ns)                          |     237553 |     237553 |     237553 |     237553 |     237553 |     237553 |     237553 |     237553
  Idle time (ns)                     |     127824 |      80932 |     105428 |     100325 |      83579 |      87600 |     120696 |      93999
  Idle time (%)                      |      53.8% |      34.1% |      44.4% |      42.2% |      35.2% |      36.9% |      50.8% |      39.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      54764 |      94814 |      73495 |      93432 |      98642 |      96045 |      76327 |     101674
  num incorrect                      |         97 |         84 |         93 |        100 |         77 |        116 |         92 |        105
  misprediction rate                 |      0.18% |      0.09% |      0.13% |      0.11% |      0.08% |      0.12% |      0.12% |      0.10%
  mpki                               |       0.36 |       0.20 |       0.27 |       0.24 |       0.17 |       0.27 |       0.26 |       0.23
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      12010 |      12020 |      12019 |      12018 |      12016 |      12019 |      12019 |      12019
    num cache misses                 |         10 |         15 |         15 |         14 |         15 |         15 |         15 |         15
    miss rate                        |      0.08% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     144739 |     224833 |     182209 |     222089 |     232469 |     227354 |     187871 |     238593
    num cache misses                 |       4314 |       5835 |       5072 |       5422 |       5822 |       5749 |       4212 |       5256
    miss rate                        |      2.98% |      2.60% |      2.78% |      2.44% |      2.50% |      2.53% |      2.24% |      2.20%
    mpki                             |      16.08 |      13.62 |      14.77 |      12.82 |      13.12 |      13.26 |      11.88 |      11.52
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5624 |       6695 |       6387 |       6391 |       6941 |       6951 |       5518 |       6413
    num cache misses                 |       1510 |       2005 |       1725 |       1410 |       1769 |       1774 |       1255 |       1437
    miss rate                        |     26.85% |     29.95% |     27.01% |     22.06% |     25.49% |     25.52% |     22.74% |     22.41%
    mpki                             |       5.63 |       4.68 |       5.02 |       3.33 |       3.99 |       4.09 |       3.54 |       3.15
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2227 |       2651 |       2663 |       2017 |       2486 |       2629 |       2222 |       2224
    num cache misses                 |         10 |          6 |          5 |          9 |          7 |         11 |         10 |          8
    miss rate                        |      0.45% |      0.23% |      0.19% |      0.45% |      0.28% |      0.42% |      0.45% |      0.36%
    mpki                             |       0.04 |       0.01 |       0.01 |       0.02 |       0.02 |       0.03 |       0.03 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         59 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     100.21 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      46.78 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          5 |          3 |          3 |          5 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
