                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     418860 |     581961 |     581748 |     614335 |     443836 |     540980 |     549294 |     510230 |     566102 |     555946 |     517447 |     429400 |     576703 |     555056 |     578661 |     545656
  Cycles                             |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799 |    1286799
  IPC                                |       0.33 |       0.45 |       0.45 |       0.48 |       0.34 |       0.42 |       0.43 |       0.40 |       0.44 |       0.43 |       0.40 |       0.33 |       0.45 |       0.43 |       0.45 |       0.42
  Time (ns)                          |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759 |     483759
  Idle time (ns)                     |     218759 |      87607 |      83814 |      82275 |     210225 |     107424 |     121889 |     112930 |     156797 |     144153 |     197501 |     242842 |     100489 |      94305 |      85710 |     104629
  Idle time (%)                      |      45.2% |      18.1% |      17.3% |      17.0% |      43.5% |      22.2% |      25.2% |      23.3% |      32.4% |      29.8% |      40.8% |      50.2% |      20.8% |      19.5% |      17.7% |      21.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      92164 |     132929 |     132872 |     141037 |      98400 |     122680 |     124760 |     115006 |     128963 |     126431 |     116806 |      94787 |     131626 |     126205 |     132115 |     123857
  num incorrect                      |         71 |         73 |         81 |         61 |         71 |         76 |         75 |         64 |         78 |         69 |         69 |         75 |         66 |         73 |         66 |         71
  misprediction rate                 |      0.08% |      0.05% |      0.06% |      0.04% |      0.07% |      0.06% |      0.06% |      0.06% |      0.06% |      0.05% |      0.06% |      0.08% |      0.05% |      0.06% |      0.05% |      0.06%
  mpki                               |       0.17 |       0.13 |       0.14 |       0.10 |       0.16 |       0.14 |       0.14 |       0.13 |       0.14 |       0.12 |       0.13 |       0.17 |       0.11 |       0.13 |       0.11 |       0.13
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13016 |      13025 |      13019 |      13020 |      13019 |      13023 |      13026 |      13019 |      13021 |      13015 |      13017 |      13019 |      13018 |      13027 |      13021 |      13023
    num cache misses                 |         10 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         12 |         14 |         15 |         15
    miss rate                        |      0.08% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.09% |      0.11% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     219484 |     301032 |     300928 |     317222 |     231964 |     280536 |     284702 |     265162 |     293105 |     288020 |     268771 |     224746 |     298404 |     287582 |     299385 |     282883
    num cache misses                 |       6742 |      10413 |      10460 |      10573 |       6759 |       9247 |       8911 |       8939 |       8360 |       8381 |       7082 |       5871 |       9356 |       9576 |       9528 |       9057
    miss rate                        |      3.07% |      3.46% |      3.48% |      3.33% |      2.91% |      3.30% |      3.13% |      3.37% |      2.85% |      2.91% |      2.63% |      2.61% |      3.14% |      3.33% |      3.18% |      3.20%
    mpki                             |      16.10 |      17.89 |      17.98 |      17.21 |      15.23 |      17.09 |      16.22 |      17.52 |      14.77 |      15.08 |      13.69 |      13.67 |      16.22 |      17.25 |      16.47 |      16.60
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8315 |      11903 |      11861 |      11852 |       8243 |      10709 |      10437 |      10424 |       9906 |       9908 |       8517 |       7340 |      10813 |      10978 |      10881 |      10477
    num cache misses                 |       5380 |       8012 |       7923 |       8017 |       5384 |       7443 |       7181 |       7162 |       6404 |       6592 |       5426 |       4571 |       7301 |       7547 |       7478 |       7222
    miss rate                        |     64.70% |     67.31% |     66.80% |     67.64% |     65.32% |     69.50% |     68.80% |     68.71% |     64.65% |     66.53% |     63.71% |     62.28% |     67.52% |     68.75% |     68.73% |     68.93%
    mpki                             |      12.84 |      13.77 |      13.62 |      13.05 |      12.13 |      13.76 |      13.07 |      14.04 |      11.31 |      11.86 |      10.49 |      10.65 |      12.66 |      13.60 |      12.92 |      13.24
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6778 |       9213 |       9075 |       8850 |       6761 |       8785 |       8559 |       8513 |       7862 |       7979 |       6736 |       5918 |       8536 |       8790 |       8628 |       8376
    num cache misses                 |       4535 |       7084 |       7043 |       7181 |       4719 |       6584 |       6411 |       6437 |       5564 |       5782 |       4855 |       4115 |       6505 |       6725 |       6718 |       6557
    miss rate                        |     66.91% |     76.89% |     77.61% |     81.14% |     69.80% |     74.95% |     74.90% |     75.61% |     70.77% |     72.47% |     72.08% |     69.53% |     76.21% |     76.51% |     77.86% |     78.28%
    mpki                             |      10.83 |      12.17 |      12.11 |      11.69 |      10.63 |      12.17 |      11.67 |      12.62 |       9.83 |      10.40 |       9.38 |       9.58 |      11.28 |      12.12 |      11.61 |      12.02
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     139.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      85.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          4 |          4 |          3 |          3 |          2 |          4 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2188 |       3108 |       2790 |       2554 |       2173 |       2932 |       2541 |       2291 |       2640 |       2386 |       1663 |       1099 |       2975 |       2596 |       2357 |       2081
