                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   45143346 |   44507178 |   46743689 |   46211463 |   37638044 |   46149974 |   46298137 |   43778405
  Cycles                             |   26646643 |   26646643 |   26646643 |   26646643 |   26646643 |   26646643 |   26646643 |   26646643
  IPC                                |       1.69 |       1.67 |       1.75 |       1.73 |       1.41 |       1.73 |       1.74 |       1.64
  Time (ns)                          |   10017535 |   10017535 |   10017535 |   10017535 |   10017535 |   10017535 |   10017535 |   10017535
  Idle time (ns)                     |     339294 |     489132 |      80900 |     187756 |    1809354 |     188074 |     164423 |     650433
  Idle time (%)                      |       3.4% |       4.9% |       0.8% |       1.9% |      18.1% |       1.9% |       1.6% |       6.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   11050569 |   10891502 |   11450628 |   11317550 |    9174248 |   11302212 |   11339263 |   10709339
  num incorrect                      |        283 |        301 |        302 |        322 |        273 |        288 |        282 |        276
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     210010 |     210019 |     210014 |     210022 |     210019 |     210019 |     210013 |     210011
    num cache misses                 |         10 |         15 |         13 |         14 |         15 |         15 |         12 |         12
    miss rate                        |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   22829728 |   22511645 |   23629897 |   23363790 |   19077077 |   23333042 |   23407122 |   22147256
    num cache misses                 |       9853 |       9285 |       9702 |       9213 |       5912 |       7733 |       7633 |       6960
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.21 |       0.21 |       0.20 |       0.16 |       0.17 |       0.16 |       0.16
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11022 |      10139 |      10427 |      10245 |       7642 |       9159 |       9121 |       8395
    num cache misses                 |       3419 |       2481 |       1952 |       1591 |       1125 |       1819 |       1656 |       1296
    miss rate                        |     31.02% |     24.47% |     18.72% |     15.53% |     14.72% |     19.86% |     18.16% |     15.44%
    mpki                             |       0.08 |       0.06 |       0.04 |       0.03 |       0.03 |       0.04 |       0.04 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4133 |       2886 |       2324 |       2121 |       2678 |       3126 |       2995 |       2663
    num cache misses                 |          7 |         13 |          5 |          9 |          6 |          5 |          7 |          9
    miss rate                        |      0.17% |      0.45% |      0.22% |      0.42% |      0.22% |      0.16% |      0.23% |      0.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      91.48 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      38.05 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          5 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
