                                     | Core 0     | Core 1    
  Instructions                       |    7750566 |    7673533
  Cycles                             |    6876699 |    6876699
  IPC                                |       1.13 |       1.12
  Time (ns)                          |    2585225 |    2585225
  Idle time (ns)                     |      76263 |      90950
  Idle time (%)                      |       2.9% |       3.5%
Branch predictor stats               |            |           
  num correct                        |    1702496 |    1683236
  num incorrect                      |        164 |        166
  misprediction rate                 |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     210012 |     210013
    num cache misses                 |         11 |         11
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4133337 |    4094823
    num cache misses                 |       2255 |       1813
    miss rate                        |      0.05% |      0.04%
    mpki                             |       0.29 |       0.24
  Cache L2                           |            |           
    num cache accesses               |       3052 |       3050
    num cache misses                 |         18 |          8
    miss rate                        |      0.59% |      0.26%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         20 |         10
    num cache misses                 |         18 |          8
    miss rate                        |     90.00% |     80.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      92.23 |        inf
  average dram queueing delay        |      38.80 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
