                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6372539 |    6651516 |    7188334 |    6529510 |    5480337 |    6944950 |    6862626 |    6643330 |    6971368 |    7068516 |    6920640 |    6776286 |    6490194 |    7228230 |    6583555 |    7248449
  Cycles                             |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308 |    5160308
  IPC                                |       1.23 |       1.29 |       1.39 |       1.27 |       1.06 |       1.35 |       1.33 |       1.29 |       1.35 |       1.37 |       1.34 |       1.31 |       1.26 |       1.40 |       1.28 |       1.40
  Time (ns)                          |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966 |    1939966
  Idle time (ns)                     |     327075 |     258512 |     103763 |     298935 |     540351 |     165445 |     201479 |     239009 |     174003 |     159437 |     206271 |     246208 |     307044 |      87169 |     271641 |      85254
  Idle time (%)                      |      16.9% |      13.3% |       5.3% |      15.4% |      27.9% |       8.5% |      10.4% |      12.3% |       9.0% |       8.2% |      10.6% |      12.7% |      15.8% |       4.5% |      14.0% |       4.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1560505 |    1630238 |    1764451 |    1599749 |    1337468 |    1703598 |    1683025 |    1628211 |    1710197 |    1734502 |    1697505 |    1661437 |    1589930 |    1774405 |    1613255 |    1779491
  num incorrect                      |        137 |        151 |        140 |        139 |        128 |        153 |        143 |        135 |        157 |        138 |        163 |        144 |        129 |        163 |        144 |        131
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      30020 |      30017 |      30019 |      30019 |      30019 |      30017 |      30017 |      30015 |      30019 |      30019 |      30019 |      30019 |      30019 |      30019 |      30015 |      30020
    num cache misses                 |         15 |         14 |         15 |         15 |         15 |         13 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3219323 |    3358814 |    3627222 |    3297811 |    2773225 |    3505532 |    3464366 |    3354721 |    3518739 |    3567314 |    3493375 |    3421199 |    3278152 |    3647170 |    3324833 |    3657279
    num cache misses                 |      16386 |      17029 |      19184 |      16516 |      13952 |      18310 |      17672 |      17240 |      18269 |      18081 |      17476 |      17078 |      16131 |      19519 |      16715 |      19095
    miss rate                        |      0.51% |      0.51% |      0.53% |      0.50% |      0.50% |      0.52% |      0.51% |      0.51% |      0.52% |      0.51% |      0.50% |      0.50% |      0.49% |      0.54% |      0.50% |      0.52%
    mpki                             |       2.57 |       2.56 |       2.67 |       2.53 |       2.55 |       2.64 |       2.58 |       2.60 |       2.62 |       2.56 |       2.53 |       2.52 |       2.49 |       2.70 |       2.54 |       2.63
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      18213 |      18803 |      20847 |      18245 |      15632 |      20017 |      19397 |      18924 |      20090 |      19792 |      19230 |      18800 |      17826 |      21073 |      18459 |      20814
    num cache misses                 |       8641 |       9153 |      10971 |       8726 |       7463 |      10188 |       9660 |       9420 |       9821 |       9575 |       9178 |       8980 |       8539 |      10767 |       8980 |      10476
    miss rate                        |     47.44% |     48.68% |     52.63% |     47.83% |     47.74% |     50.90% |     49.80% |     49.78% |     48.89% |     48.38% |     47.73% |     47.77% |     47.90% |     51.09% |     48.65% |     50.33%
    mpki                             |       1.36 |       1.38 |       1.53 |       1.34 |       1.36 |       1.47 |       1.41 |       1.42 |       1.41 |       1.35 |       1.33 |       1.33 |       1.32 |       1.49 |       1.36 |       1.45
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      10322 |      10790 |      12542 |      10337 |       9060 |      11785 |      11267 |      11020 |      11496 |      11171 |      10807 |      10577 |      10140 |      12203 |      10650 |      11897
    num cache misses                 |       7189 |       7737 |       9397 |       7480 |       6269 |       8604 |       8221 |       8021 |       8356 |       8326 |       7848 |       7765 |       7093 |       9140 |       7522 |       9032
    miss rate                        |     69.65% |     71.71% |     74.92% |     72.36% |     69.19% |     73.01% |     72.97% |     72.79% |     72.69% |     74.53% |     72.62% |     73.41% |     69.95% |     74.90% |     70.63% |     75.92%
    mpki                             |       1.13 |       1.16 |       1.31 |       1.15 |       1.14 |       1.24 |       1.20 |       1.21 |       1.20 |       1.18 |       1.13 |       1.15 |       1.09 |       1.26 |       1.14 |       1.25
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        101 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      99.60 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      46.17 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          7 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3111 |       3016 |       4130 |       2451 |       2546 |       3600 |       3132 |       2781 |       3817 |       3246 |       2781 |       2637 |       2983 |       3770 |       2904 |       2937
