                                     | Core 0     | Core 1    
  Instructions                       |     111027 |     103288
  Cycles                             |     264431 |     264431
  IPC                                |       0.42 |       0.39
  Time (ns)                          |      99410 |      99410
  Idle time (ns)                     |      78548 |      79972
  Idle time (%)                      |      79.0% |      80.4%
Branch predictor stats               |            |           
  num correct                        |      15449 |      13519
  num incorrect                      |         73 |         71
  misprediction rate                 |      0.47% |      0.52%
  mpki                               |       0.66 |       0.69
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      12012 |      12015
    num cache misses                 |         11 |         11
    miss rate                        |      0.09% |      0.09%
    mpki                             |       0.10 |       0.11
  Cache L1-D                         |            |           
    num cache accesses               |      66068 |      62201
    num cache misses                 |       1095 |       1249
    miss rate                        |      1.66% |      2.01%
    mpki                             |       9.86 |      12.09
  Cache L2                           |            |           
    num cache accesses               |       1686 |       1688
    num cache misses                 |          7 |         21
    miss rate                        |      0.42% |      1.24%
    mpki                             |       0.06 |       0.20
  Cache L3                           |            |           
    num cache accesses               |          9 |         23
    num cache misses                 |          7 |         21
    miss rate                        |     77.78% |     91.30%
    mpki                             |       0.06 |       0.20
DRAM summary                         |            |           
  num dram accesses                  |         25 |          0
  average dram access latency (ns)   |      99.28 |        inf
  average dram queueing delay        |      45.86 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          2 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
