                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     171731 |     192407 |     190820 |     191927
  Cycles                             |     307831 |     307831 |     307831 |     307831
  IPC                                |       0.56 |       0.63 |       0.62 |       0.62
  Time (ns)                          |     115726 |     115726 |     115726 |     115726
  Idle time (ns)                     |      82462 |      79146 |      79489 |      78557
  Idle time (%)                      |      71.3% |      68.4% |      68.7% |      67.9%
Branch predictor stats               |            |            |            |           
  num correct                        |      30592 |      35766 |      35372 |      35649
  num incorrect                      |        108 |         95 |         94 |         95
  misprediction rate                 |      0.35% |      0.26% |      0.27% |      0.27%
  mpki                               |       0.63 |       0.49 |       0.49 |       0.49
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      12011 |      12018 |      12019 |      12019
    num cache misses                 |         11 |         14 |         15 |         15
    miss rate                        |      0.09% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.06 |       0.07 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      96421 |     106760 |     105966 |     106520
    num cache misses                 |       4897 |       5308 |       5146 |       4781
    miss rate                        |      5.08% |      4.97% |      4.86% |      4.49%
    mpki                             |      28.52 |      27.59 |      26.97 |      24.91
  Cache L2                           |            |            |            |           
    num cache accesses               |       6568 |       6536 |       6294 |       5812
    num cache misses                 |         20 |          7 |          5 |          8
    miss rate                        |      0.30% |      0.11% |      0.08% |      0.14%
    mpki                             |       0.12 |       0.04 |       0.03 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         22 |          9 |          7 |         10
    num cache misses                 |         20 |          7 |          5 |          8
    miss rate                        |     90.91% |     77.78% |     71.43% |     80.00%
    mpki                             |       0.12 |       0.04 |       0.03 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     132.09 |        inf |        inf |        inf
  average dram queueing delay        |      78.66 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
