                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1163867 |    1031321 |    1071842 |    1253426
  Cycles                             |     983654 |     983654 |     983654 |     983654
  IPC                                |       1.18 |       1.05 |       1.09 |       1.27
  Time (ns)                          |     369795 |     369795 |     369795 |     369795
  Idle time (ns)                     |      94745 |     120322 |     110779 |      78884
  Idle time (%)                      |      25.6% |      32.5% |      30.0% |      21.3%
Branch predictor stats               |            |            |            |           
  num correct                        |     258337 |     225200 |     235295 |     280747
  num incorrect                      |        146 |        146 |        178 |        124
  misprediction rate                 |      0.06% |      0.06% |      0.08% |      0.04%
  mpki                               |       0.13 |       0.14 |       0.17 |       0.10
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      30011 |      30013 |      30013 |      30017
    num cache misses                 |         11 |         10 |         10 |         12
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     614989 |     548716 |     568977 |     659769
    num cache misses                 |       4784 |       3699 |       3835 |       3986
    miss rate                        |      0.78% |      0.67% |      0.67% |      0.60%
    mpki                             |       4.11 |       3.59 |       3.58 |       3.18
  Cache L2                           |            |            |            |           
    num cache accesses               |       5885 |       4866 |       4798 |       4852
    num cache misses                 |          5 |         10 |         14 |         13
    miss rate                        |      0.08% |      0.21% |      0.29% |      0.27%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |          7 |         11 |         15 |         15
    num cache misses                 |          5 |         10 |         14 |         13
    miss rate                        |     71.43% |     90.91% |     93.33% |     86.67%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         33 |          0 |          0 |          0
  average dram access latency (ns)   |      87.40 |        inf |        inf |        inf
  average dram queueing delay        |      33.97 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          1 |          3 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
