                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     213230 |     214627 |     211478 |     212545
  Cycles                             |    2064546 |    2064546 |    2064546 |    2064546
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     776145 |     776145 |     776145 |     776145
  Idle time (ns)                     |     650444 |     649267 |     652582 |     650778
  Idle time (%)                      |      83.8% |      83.7% |      84.1% |      83.8%
Branch predictor stats               |            |            |            |           
  num correct                        |      18339 |      18456 |      18179 |      18278
  num incorrect                      |        569 |        608 |        548 |        568
  misprediction rate                 |      3.01% |      3.19% |      2.93% |      3.01%
  mpki                               |       2.67 |       2.83 |       2.59 |       2.67
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      36773 |      37045 |      36425 |      36642
    num cache misses                 |         64 |         66 |         22 |         66
    miss rate                        |      0.17% |      0.18% |      0.06% |      0.18%
    mpki                             |       0.30 |       0.31 |       0.10 |       0.31
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     134702 |     135296 |     133961 |     134411
    num cache misses                 |       1987 |       1982 |       1887 |       1955
    miss rate                        |      1.48% |      1.46% |      1.41% |      1.45%
    mpki                             |       9.32 |       9.23 |       8.92 |       9.20
  Cache L2                           |            |            |            |           
    num cache accesses               |       2508 |       2460 |       2321 |       2423
    num cache misses                 |         45 |         44 |         21 |         81
    miss rate                        |      1.79% |      1.79% |      0.90% |      3.34%
    mpki                             |       0.21 |       0.21 |       0.10 |       0.38
  Cache L3                           |            |            |            |           
    num cache accesses               |         50 |         49 |         22 |         86
    num cache misses                 |         45 |         44 |         21 |         81
    miss rate                        |     90.00% |     89.80% |     95.45% |     94.19%
    mpki                             |       0.21 |       0.21 |       0.10 |       0.38
DRAM summary                         |            |            |            |           
  num dram accesses                  |        188 |          0 |          0 |          0
  average dram access latency (ns)   |     129.55 |        inf |        inf |        inf
  average dram queueing delay        |      76.12 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         14 |         21 |          5 |         37
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
