                                     | Core 0     | Core 1    
  Instructions                       |    6945396 |    7724827
  Cycles                             |    6869696 |    6869696
  IPC                                |       1.01 |       1.12
  Time (ns)                          |    2582593 |    2582593
  Idle time (ns)                     |     225546 |      79072
  Idle time (%)                      |       8.7% |       3.1%
Branch predictor stats               |            |           
  num correct                        |    1500959 |    1695827
  num incorrect                      |        154 |        149
  misprediction rate                 |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     211029 |     211016
    num cache misses                 |         11 |         11
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    3730248 |    4119966
    num cache misses                 |       2298 |       1461
    miss rate                        |      0.06% |      0.04%
    mpki                             |       0.33 |       0.19
  Cache L2                           |            |           
    num cache accesses               |       2826 |       2824
    num cache misses                 |         21 |          5
    miss rate                        |      0.74% |      0.18%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         23 |          7
    num cache misses                 |         21 |          5
    miss rate                        |     91.30% |     71.43%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         24 |          0
  average dram access latency (ns)   |      93.82 |        inf
  average dram queueing delay        |      40.39 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
