                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   20037438 |   17516719 |   19333456 |   19442065
  Cycles                             |   13041833 |   13041833 |   13041833 |   13041833
  IPC                                |       1.54 |       1.34 |       1.48 |       1.49
  Time (ns)                          |    4902945 |    4902945 |    4902945 |    4902945
  Idle time (ns)                     |      79842 |     553375 |     211302 |     191074
  Idle time (%)                      |       1.6% |      11.3% |       4.3% |       3.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    4774096 |    4143893 |    4598057 |    4625228
  num incorrect                      |        277 |        301 |        318 |        304
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     210012 |     210011 |     210011 |     210012
    num cache misses                 |         11 |         10 |         10 |         11
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10276773 |    9016413 |    9924782 |    9979085
    num cache misses                 |       5779 |       5326 |       5464 |       5168
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.05%
    mpki                             |       0.29 |       0.30 |       0.28 |       0.27
  Cache L2                           |            |            |            |           
    num cache accesses               |       7690 |       6402 |       6680 |       6155
    num cache misses                 |         19 |          6 |          4 |          5
    miss rate                        |      0.25% |      0.09% |      0.06% |      0.08%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         21 |          8 |          6 |          7
    num cache misses                 |         19 |          6 |          4 |          5
    miss rate                        |     90.48% |     75.00% |     66.67% |     71.43%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         33 |          0 |          0 |          0
  average dram access latency (ns)   |      92.93 |        inf |        inf |        inf
  average dram queueing delay        |      39.50 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
