                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      89999 |      92050 |      89989 |      89892 |      90237 |      89012 |      90650 |      90908
  Cycles                             |    1762979 |    1762979 |    1762979 |    1762979 |    1762979 |    1762979 |    1762979 |    1762979
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |     662774 |     662774 |     662774 |     662774 |     662774 |     662774 |     662774 |     662774
  Idle time (ns)                     |     604963 |     604092 |     611515 |     615316 |     608562 |     611689 |     611897 |     606526
  Idle time (%)                      |      91.3% |      91.1% |      92.3% |      92.8% |      91.8% |      92.3% |      92.3% |      91.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |       9240 |       9454 |       9264 |       9215 |       9263 |       9096 |       9292 |       9270
  num incorrect                      |        362 |        360 |        353 |        378 |        372 |        338 |        364 |        399
  misprediction rate                 |      3.77% |      3.67% |      3.67% |      3.94% |      3.86% |      3.58% |      3.77% |      4.13%
  mpki                               |       4.02 |       3.91 |       3.92 |       4.21 |       4.12 |       3.80 |       4.02 |       4.39
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17127 |      17512 |      17096 |      17104 |      17145 |      17037 |      17258 |      17323
    num cache misses                 |         64 |         66 |         66 |         66 |         65 |         21 |         66 |         66
    miss rate                        |      0.37% |      0.38% |      0.39% |      0.39% |      0.38% |      0.12% |      0.38% |      0.38%
    mpki                             |       0.71 |       0.72 |       0.73 |       0.73 |       0.72 |       0.24 |       0.73 |       0.73
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      50923 |      51775 |      50914 |      50877 |      51010 |      50545 |      51201 |      51312
    num cache misses                 |       2198 |       1985 |       2012 |       1849 |       1895 |       1733 |       1878 |       2090
    miss rate                        |      4.32% |      3.83% |      3.95% |      3.63% |      3.71% |      3.43% |      3.67% |      4.07%
    mpki                             |      24.42 |      21.56 |      22.36 |      20.57 |      21.00 |      19.47 |      20.72 |      22.99
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2744 |       2450 |       2477 |       2280 |       2329 |       2085 |       2337 |       2585
    num cache misses                 |       1134 |       1165 |        861 |        819 |        992 |        955 |        939 |       1045
    miss rate                        |     41.33% |     47.55% |     34.76% |     35.92% |     42.59% |     45.80% |     40.18% |     40.43%
    mpki                             |      12.60 |      12.66 |       9.57 |       9.11 |      10.99 |      10.73 |      10.36 |      11.50
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1435 |       1405 |       1058 |        998 |       1236 |       1162 |       1177 |       1302
    num cache misses                 |         20 |         58 |         19 |         36 |         23 |         12 |         44 |         60
    miss rate                        |      1.39% |      4.13% |      1.80% |      3.61% |      1.86% |      1.03% |      3.74% |      4.61%
    mpki                             |       0.22 |       0.63 |       0.21 |       0.40 |       0.25 |       0.13 |       0.49 |       0.66
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |        260 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     167.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     113.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          7 |         25 |          7 |         17 |          7 |          6 |         12 |         30
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
