                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  mpki                               |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     210015 |     210019 |     210019 |     210011 |     210024 |     210019 |     210020 |     210019 |     210019 |     210019 |     210017 |     210019 |     210019 |     210019 |     210019 |     210019
    num cache misses                 |         12 |         15 |         15 |         10 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   45034547 |   49321395 |   45353422 |   42883550 |   49233632 |   47274738 |   49590479 |   49347198 |   49103942 |   43653343 |   49369730 |   47330175 |   48319560 |   49000899 |   47096277 |   47687724
    num cache misses                 |      21861 |      24244 |      22037 |      20849 |      24029 |      22814 |      24057 |      24015 |      24055 |      21067 |      23863 |      22937 |      23337 |      23669 |      22698 |      22822
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.24 |       0.25 |       0.24 |       0.24 |       0.25 |       0.24 |       0.24 |       0.24 |       0.25 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      23752 |      26054 |      23806 |      22619 |      25784 |      24564 |      25713 |      25763 |      25999 |      22918 |      25692 |      24748 |      25106 |      25465 |      24480 |      24611
    num cache misses                 |       9319 |      11381 |       9257 |       8805 |      10540 |       9718 |      10426 |      10554 |      10460 |       8856 |      10162 |       9545 |       9928 |      10208 |       9478 |       9536
    miss rate                        |     39.23% |     43.68% |     38.89% |     38.93% |     40.88% |     39.56% |     40.55% |     40.97% |     40.23% |     38.64% |     39.55% |     38.57% |     39.54% |     40.09% |     38.72% |     38.75%
    mpki                             |       0.10 |       0.12 |       0.10 |       0.10 |       0.11 |       0.10 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11047 |      13075 |      10881 |      10439 |      12173 |      11346 |      11989 |      12190 |      12254 |      10559 |      11851 |      11213 |      11617 |      11903 |      11152 |      11223
    num cache misses                 |       7663 |       8967 |       7814 |       7457 |       8764 |       8010 |       8762 |       8891 |       8471 |       7403 |       8494 |       7942 |       8102 |       8378 |       7796 |       7915
    miss rate                        |     69.37% |     68.58% |     71.81% |     71.43% |     72.00% |     70.60% |     73.08% |     72.94% |     69.13% |     70.11% |     71.67% |     70.83% |     69.74% |     70.39% |     69.91% |     70.52%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08 |       0.08 |       0.09 |       0.08 |       0.08
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |        100 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      77.23 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      23.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          2 |          4 |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3453 |       3898 |       3015 |       2601 |       3694 |       3274 |       3292 |       3130 |       3725 |       2923 |       3242 |       2730 |       3419 |       3297 |       2819 |       2824
