                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   89552988 |   98126678 |   90190732 |   85250992 |   97951149 |   94033364 |   98664848 |   98178284 |   97691772 |   86790574 |   98223349 |   94144238 |   96123008 |   97485686 |   93676442 |   94859336
  Cycles                             |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372 |   53543372
  IPC                                |       1.67 |       1.83 |       1.68 |       1.59 |       1.83 |       1.76 |       1.84 |       1.83 |       1.82 |       1.62 |       1.83 |       1.76 |       1.80 |       1.82 |       1.75 |       1.77
  Time (ns)                          |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087 |   20129087
  Idle time (ns)                     |    1855975 |     178555 |    1737623 |    2684345 |     217715 |     990134 |      97335 |     180912 |     271434 |    2381899 |     188892 |     971469 |     580669 |     312527 |    1060629 |     829178
  Idle time (%)                      |       9.2% |       0.9% |       8.6% |      13.3% |       1.1% |       4.9% |       0.5% |       0.9% |       1.3% |      11.8% |       0.9% |       4.8% |       2.9% |       1.6% |       5.3% |       4.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   22152970 |   24296369 |   22312406 |   21077494 |   24252496 |   23273051 |   24430945 |   24309275 |   24187672 |   21462346 |   24320539 |   23300774 |   23795454 |   24136156 |   23183834 |   23479545
  num incorrect                      |        287 |        308 |        285 |        266 |        295 |        295 |        274 |        301 |        279 |        306 |        306 |        292 |        305 |        277 |        284 |        298
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
