                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     440133 |     532018 |     379391 |     428970 |     365770 |     552320 |     442175 |     566888
  Cycles                             |     744260 |     744260 |     744260 |     744260 |     744260 |     744260 |     744260 |     744260
  IPC                                |       0.59 |       0.71 |       0.51 |       0.58 |       0.49 |       0.74 |       0.59 |       0.76
  Time (ns)                          |     279797 |     279797 |     279797 |     279797 |     279797 |     279797 |     279797 |     279797
  Idle time (ns)                     |     103040 |      88073 |     147304 |     138494 |     143554 |      89403 |     124307 |      95127
  Idle time (%)                      |      36.8% |      31.5% |      52.6% |      49.5% |      51.3% |      32.0% |      44.4% |      34.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      97707 |     120672 |      82534 |      94917 |      79127 |     125738 |      98214 |     129379
  num incorrect                      |         91 |         97 |         80 |         88 |         74 |        104 |         77 |        104
  misprediction rate                 |      0.09% |      0.08% |      0.10% |      0.09% |      0.09% |      0.08% |      0.08% |      0.08%
  mpki                               |       0.21 |       0.18 |       0.21 |       0.21 |       0.20 |       0.19 |       0.17 |       0.18
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      12015 |      12012 |      12013 |      12019 |      12011 |      12016 |      12019 |      12011
    num cache misses                 |         12 |         11 |         12 |         15 |         10 |         13 |         15 |         10
    miss rate                        |      0.10% |      0.09% |      0.10% |      0.12% |      0.08% |      0.11% |      0.12% |      0.08%
    mpki                             |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     230621 |     276562 |     200249 |     225041 |     193417 |     286715 |     231617 |     293998
    num cache misses                 |       6820 |       7051 |       4525 |       5098 |       4420 |       6941 |       5332 |       6669
    miss rate                        |      2.96% |      2.55% |      2.26% |      2.27% |      2.29% |      2.42% |      2.30% |      2.27%
    mpki                             |      15.50 |      13.25 |      11.93 |      11.88 |      12.08 |      12.57 |      12.06 |      11.76
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8351 |       8029 |       6062 |       6382 |       6004 |       8007 |       6828 |       7707
    num cache misses                 |       2479 |       2406 |       1525 |       1480 |       1868 |       2205 |       1864 |       1901
    miss rate                        |     29.69% |     29.97% |     25.16% |     23.19% |     31.11% |     27.54% |     27.30% |     24.67%
    mpki                             |       5.63 |       4.52 |       4.02 |       3.45 |       5.11 |       3.99 |       4.22 |       3.35
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3634 |       3137 |       2656 |       2349 |       3202 |       2996 |       3072 |       2504
    num cache misses                 |         11 |          4 |          6 |         15 |          4 |          5 |          8 |          5
    miss rate                        |      0.30% |      0.13% |      0.23% |      0.64% |      0.12% |      0.17% |      0.26% |      0.20%
    mpki                             |       0.02 |       0.01 |       0.02 |       0.03 |       0.01 |       0.01 |       0.02 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      88.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      34.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          2 |          2 |          6 |          2 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
