                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1265765 |    1041269 |    1154178 |    1279505
  Cycles                             |    1007596 |    1007596 |    1007596 |    1007596
  IPC                                |       1.26 |       1.03 |       1.15 |       1.27
  Time (ns)                          |     378796 |     378796 |     378796 |     378796
  Idle time (ns)                     |      83227 |     127046 |     104608 |      82808
  Idle time (%)                      |      22.0% |      33.5% |      27.6% |      21.9%
Branch predictor stats               |            |            |            |           
  num correct                        |     283765 |     227653 |     255889 |     287230
  num incorrect                      |        181 |        173 |        164 |        146
  misprediction rate                 |      0.06% |      0.08% |      0.06% |      0.05%
  mpki                               |       0.14 |       0.17 |       0.14 |       0.11
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      30020 |      30017 |      30017 |      30025
    num cache misses                 |         15 |         15 |         15 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     665936 |     553689 |     610144 |     672807
    num cache misses                 |       5107 |       4026 |       4269 |       4198
    miss rate                        |      0.77% |      0.73% |      0.70% |      0.62%
    mpki                             |       4.03 |       3.87 |       3.70 |       3.28
  Cache L2                           |            |            |            |           
    num cache accesses               |       6411 |       5063 |       5215 |       5387
    num cache misses                 |          8 |          7 |         14 |         13
    miss rate                        |      0.12% |      0.14% |      0.27% |      0.24%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |          9 |          9 |         16 |         15
    num cache misses                 |          8 |          7 |         14 |         13
    miss rate                        |     88.89% |     77.78% |     87.50% |     86.67%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         41 |          0 |          0 |          0
  average dram access latency (ns)   |      74.91 |        inf |        inf |        inf
  average dram queueing delay        |      21.48 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          3 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
