                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      86964 |      86934 |      86853 |      87533
  Cycles                             |     726840 |     726840 |     726840 |     726840
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     273248 |     273248 |     273248 |     273248
  Idle time (ns)                     |     250699 |     252015 |     252524 |     251245
  Idle time (%)                      |      91.7% |      92.2% |      92.4% |      91.9%
Branch predictor stats               |            |            |            |           
  num correct                        |       9127 |       9149 |       9166 |       9264
  num incorrect                      |        281 |        273 |        253 |        273
  misprediction rate                 |      2.99% |      2.90% |      2.69% |      2.86%
  mpki                               |       3.23 |       3.14 |       2.91 |       3.12
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      16442 |      16409 |      16389 |      16466
    num cache misses                 |         66 |         65 |         66 |         66
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.76 |       0.75 |       0.76 |       0.75
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      49645 |      49627 |      49598 |      49858
    num cache misses                 |       1666 |       1599 |       1684 |       1556
    miss rate                        |      3.36% |      3.22% |      3.40% |      3.12%
    mpki                             |      19.16 |      18.39 |      19.39 |      17.78
  Cache L2                           |            |            |            |           
    num cache accesses               |       2090 |       2105 |       2090 |       1951
    num cache misses                 |         93 |         38 |         35 |         53
    miss rate                        |      4.45% |      1.81% |      1.67% |      2.72%
    mpki                             |       1.07 |       0.44 |       0.40 |       0.61
  Cache L3                           |            |            |            |           
    num cache accesses               |         97 |         42 |         40 |         58
    num cache misses                 |         93 |         38 |         35 |         53
    miss rate                        |     95.88% |     90.48% |     87.50% |     91.38%
    mpki                             |       1.07 |       0.44 |       0.40 |       0.61
DRAM summary                         |            |            |            |           
  num dram accesses                  |        199 |          0 |          0 |          0
  average dram access latency (ns)   |     117.21 |        inf |        inf |        inf
  average dram queueing delay        |      63.78 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         37 |          9 |          9 |         23
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
