                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   17444363 |   19425964 |   17216409 |   20160133
  Cycles                             |   13109128 |   13109128 |   13109128 |   13109128
  IPC                                |       1.33 |       1.48 |       1.31 |       1.54
  Time (ns)                          |    4928244 |    4928244 |    4928244 |    4928244
  Idle time (ns)                     |     593331 |     220203 |     635188 |      81665
  Idle time (%)                      |      12.0% |       4.5% |      12.9% |       1.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    4125573 |    4620960 |    4068573 |    4804491
  num incorrect                      |        274 |        285 |        285 |        298
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.01 |       0.02 |       0.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     211047 |     211052 |     211049 |     211050
    num cache misses                 |         13 |         12 |         13 |         11
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    8979730 |    9970527 |    8865747 |   10337610
    num cache misses                 |       5277 |       5540 |       5078 |       5410
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.05%
    mpki                             |       0.30 |       0.29 |       0.29 |       0.27
  Cache L2                           |            |            |            |           
    num cache accesses               |       7123 |       6983 |       6210 |       6098
    num cache misses                 |         10 |          8 |         16 |          9
    miss rate                        |      0.14% |      0.11% |      0.26% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         11 |         10 |         17 |         11
    num cache misses                 |         10 |          8 |         16 |          9
    miss rate                        |     90.91% |     80.00% |     94.12% |     81.82%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         37 |          0 |          0 |          0
  average dram access latency (ns)   |      93.49 |        inf |        inf |        inf
  average dram queueing delay        |      40.06 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          2 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
