                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1393574 |    1395879 |    1393140 |    1394581 |    1394854 |    1394916 |    1393770 |    1393530 |    1394551 |    1395016 |    1392817 |    1393292 |    1394368 |    1396157 |    1394064 |    1394062
  Cycles                             |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195 |  101686195
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893 |   38227893
  Idle time (ns)                     |   36818642 |   36811784 |   36824361 |   36819337 |   36819225 |   36818465 |   36823085 |   36821736 |   36830285 |   36829162 |   36836834 |   36835740 |   36833422 |   36828127 |   36833930 |   36831407
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.4% |      96.4% |      96.4% |      96.3% |      96.4% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     108983 |     109255 |     108903 |     109087 |     109126 |     109108 |     108976 |     108936 |     109079 |     109220 |     108835 |     108932 |     109067 |     109342 |     109014 |     108996
  num incorrect                      |        204 |        264 |        226 |        247 |        245 |        261 |        243 |        223 |        250 |        254 |        209 |        222 |        235 |        251 |        237 |        234
  misprediction rate                 |      0.19% |      0.24% |      0.21% |      0.23% |      0.22% |      0.24% |      0.22% |      0.20% |      0.23% |      0.23% |      0.19% |      0.20% |      0.22% |      0.23% |      0.22% |      0.21%
  mpki                               |       0.15 |       0.19 |       0.16 |       0.18 |       0.18 |       0.19 |       0.17 |       0.16 |       0.18 |       0.18 |       0.15 |       0.16 |       0.17 |       0.18 |       0.17 |       0.17
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     219634 |     219848 |     219692 |     219776 |     219796 |     219824 |     219734 |     219681 |     219776 |     219633 |     219675 |     219692 |     219764 |     219881 |     219768 |     219732
    num cache misses                 |         20 |         66 |         66 |         66 |         66 |         66 |         66 |         21 |         66 |         66 |         22 |         66 |         66 |         66 |         66 |         22
    miss rate                        |      0.01% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.01% |      0.03% |      0.03% |      0.01% |      0.03% |      0.03% |      0.03% |      0.03% |      0.01%
    mpki                             |       0.01 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.02 |       0.05 |       0.05 |       0.02 |       0.05 |       0.05 |       0.05 |       0.05 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     949165 |     950039 |     949064 |     949579 |     949678 |     949709 |     949294 |     949175 |     949569 |     949667 |     948933 |     949114 |     949500 |     950157 |     949403 |     949372
    num cache misses                 |       2347 |       2560 |       2192 |       2364 |       2432 |       2410 |       2256 |       2270 |       2234 |       2354 |       2038 |       2092 |       2240 |       2371 |       2166 |       2201
    miss rate                        |      0.25% |      0.27% |      0.23% |      0.25% |      0.26% |      0.25% |      0.24% |      0.24% |      0.24% |      0.25% |      0.21% |      0.22% |      0.24% |      0.25% |      0.23% |      0.23%
    mpki                             |       1.68 |       1.83 |       1.57 |       1.70 |       1.74 |       1.73 |       1.62 |       1.63 |       1.60 |       1.69 |       1.46 |       1.50 |       1.61 |       1.70 |       1.55 |       1.58
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2639 |       2932 |       2520 |       2734 |       2782 |       2762 |       2596 |       2581 |       2770 |       2907 |       2533 |       2620 |       2777 |       2923 |       2703 |       2718
    num cache misses                 |       1937 |       2172 |       1760 |       1938 |       1974 |       1930 |       1890 |       1865 |       1891 |       1931 |       1652 |       1691 |       1866 |       1920 |       1730 |       1794
