                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1377557 |     994457 |    1343463 |    1240164
  Cycles                             |     924868 |     924868 |     924868 |     924868
  IPC                                |       1.49 |       1.08 |       1.45 |       1.34
  Time (ns)                          |     347695 |     347695 |     347695 |     347695
  Idle time (ns)                     |      79845 |     139210 |      85647 |     102129
  Idle time (%)                      |      23.0% |      40.0% |      24.6% |      29.4%
Branch predictor stats               |            |            |            |           
  num correct                        |     251787 |     175231 |     244983 |     224352
  num incorrect                      |        137 |         76 |        125 |         98
  misprediction rate                 |      0.05% |      0.04% |      0.05% |      0.04%
  mpki                               |       0.10 |       0.08 |       0.09 |       0.08
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      31021 |      31016 |      31019 |      31016
    num cache misses                 |         16 |         15 |         16 |         15
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.01 |       0.02 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     840787 |     610930 |     820334 |     758356
    num cache misses                 |     233063 |     127404 |     179020 |     164581
    miss rate                        |     27.72% |     20.85% |     21.82% |     21.70%
    mpki                             |     169.19 |     128.11 |     133.25 |     132.71
  Cache L2                           |            |            |            |           
    num cache accesses               |     233299 |     127457 |     179112 |     164635
    num cache misses                 |          9 |         16 |          6 |         11
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.02 |       0.00 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         10 |         18 |          8 |         13
    num cache misses                 |          9 |         16 |          6 |         11
    miss rate                        |     90.00% |     88.89% |     75.00% |     84.62%
    mpki                             |       0.01 |       0.02 |       0.00 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         41 |          0 |          0 |          0
  average dram access latency (ns)   |      85.61 |        inf |        inf |        inf
  average dram queueing delay        |      32.18 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
