                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     532493 |     439452 |     583727 |     556654 |     486737 |     477968 |     544969 |     562456 |     437086 |     421932 |     594288 |     600352 |     560502 |     576023 |     486204 |     573238
  Cycles                             |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937 |    1284937
  IPC                                |       0.41 |       0.34 |       0.45 |       0.43 |       0.38 |       0.37 |       0.42 |       0.44 |       0.34 |       0.33 |       0.46 |       0.47 |       0.44 |       0.45 |       0.38 |       0.45
  Time (ns)                          |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059 |     483059
  Idle time (ns)                     |     110175 |     206195 |      82354 |     101624 |     177412 |     152467 |      87011 |      84090 |     216491 |     239915 |     108389 |     102146 |      98411 |      94974 |     174588 |      97721
  Idle time (%)                      |      22.8% |      42.7% |      17.0% |      21.0% |      36.7% |      31.6% |      18.0% |      17.4% |      44.8% |      49.7% |      22.4% |      21.1% |      20.4% |      19.7% |      36.1% |      20.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     120811 |      97557 |     133627 |     126840 |     109363 |     107188 |     123919 |     128293 |      96948 |      93171 |     136258 |     137753 |     127814 |     131705 |     109247 |     130988
  num incorrect                      |         79 |         68 |         69 |         83 |         85 |         69 |         88 |         86 |         83 |         73 |         78 |         92 |         72 |         68 |         64 |         84
  misprediction rate                 |      0.07% |      0.07% |      0.05% |      0.07% |      0.08% |      0.06% |      0.07% |      0.07% |      0.09% |      0.08% |      0.06% |      0.07% |      0.06% |      0.05% |      0.06% |      0.06%
  mpki                               |       0.15 |       0.15 |       0.12 |       0.15 |       0.17 |       0.14 |       0.16 |       0.15 |       0.19 |       0.17 |       0.13 |       0.15 |       0.13 |       0.12 |       0.13 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12010 |      12015 |      12016 |      12015 |      12015 |      12015 |      12015 |      12017 |      12015 |      12015 |      12015 |      12015 |      12020 |      12010 |      12015 |      12015
