                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    num cache misses                 |         10 |         15 |         15 |         15 |         15 |         15 |         15 |         13 |         15 |         15 |         15 |         15 |         15 |         12 |         15 |         15
    miss rate                        |      0.08% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.11% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.10% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03 |       0.04 |       0.03 |       0.02 |       0.03 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     276801 |     230273 |     302419 |     288873 |     253924 |     249541 |     283041 |     291784 |     229089 |     221513 |     307701 |     310726 |     290809 |     298567 |     253648 |     297176
    num cache misses                 |       9770 |       7061 |      10177 |       9872 |       7599 |       8058 |       9844 |       9713 |       6979 |       6163 |       9651 |       9592 |       9375 |       9373 |       7314 |       9408
    miss rate                        |      3.53% |      3.07% |      3.37% |      3.42% |      2.99% |      3.23% |      3.48% |      3.33% |      3.05% |      2.78% |      3.14% |      3.09% |      3.22% |      3.14% |      2.88% |      3.17%
    mpki                             |      18.35 |      16.07 |      17.43 |      17.73 |      15.61 |      16.86 |      18.06 |      17.27 |      15.97 |      14.61 |      16.24 |      15.98 |      16.73 |      16.27 |      15.04 |      16.41
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11422 |       8654 |      11496 |      11336 |       9210 |       9622 |      11267 |      11122 |       8647 |       7778 |      11200 |      11087 |      10915 |      10655 |       8949 |      10870
    num cache misses                 |       7660 |       5645 |       8006 |       7737 |       6084 |       6508 |       7684 |       7786 |       5327 |       4705 |       7652 |       7665 |       7473 |       7417 |       5809 |       7499
    miss rate                        |     67.06% |     65.23% |     69.64% |     68.25% |     66.06% |     67.64% |     68.20% |     70.01% |     61.61% |     60.49% |     68.32% |     69.14% |     68.47% |     69.61% |     64.91% |     68.99%
    mpki                             |      14.39 |      12.85 |      13.72 |      13.90 |      12.50 |      13.62 |      14.10 |      13.84 |      12.19 |      11.15 |      12.88 |      12.77 |      13.33 |      12.88 |      11.95 |      13.08
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9067 |       7089 |       9147 |       9016 |       7508 |       7897 |       8935 |       8959 |       6788 |       6097 |       9071 |       8998 |       8851 |       8496 |       7224 |       8780
    num cache misses                 |       6536 |       4913 |       6912 |       6851 |       5337 |       5704 |       6621 |       6802 |       4464 |       4168 |       6670 |       6662 |       6524 |       6528 |       5085 |       6680
    miss rate                        |     72.09% |     69.30% |     75.57% |     75.99% |     71.08% |     72.23% |     74.10% |     75.92% |     65.76% |     68.36% |     73.53% |     74.04% |     73.71% |     76.84% |     70.39% |     76.08%
    mpki                             |      12.27 |      11.18 |      11.84 |      12.31 |      10.96 |      11.93 |      12.15 |      12.09 |      10.21 |       9.88 |      11.22 |      11.10 |      11.64 |      11.33 |      10.46 |      11.65
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         98 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     140.14 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      86.71 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          3 |          3 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          3 |          2 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3239 |       2114 |       2741 |       2363 |       2405 |       2347 |       2824 |       2606 |       1942 |       1642 |       2802 |       2526 |       3054 |       2688 |       1818 |       2249
