                                     | Core 0     | Core 1    
  Instructions                       |    1392345 |    1389244
  Cycles                             |   12101147 |   12101147
  IPC                                |       0.12 |       0.11
  Time (ns)                          |    4549304 |    4549304
  Idle time (ns)                     |    3200954 |    3207123
  Idle time (%)                      |      70.4% |      70.5%
Branch predictor stats               |            |           
  num correct                        |     109039 |     109097
  num incorrect                      |        108 |        112
  misprediction rate                 |      0.10% |      0.10%
  mpki                               |       0.08 |       0.08
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     219425 |     218107
    num cache misses                 |         65 |         66
    miss rate                        |      0.03% |      0.03%
    mpki                             |       0.05 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |     948693 |     947138
    num cache misses                 |       1882 |       1877
    miss rate                        |      0.20% |      0.20%
    mpki                             |       1.35 |       1.35
  Cache L2                           |            |           
    num cache accesses               |       2003 |       1999
    num cache misses                 |         99 |         80
    miss rate                        |      4.94% |      4.00%
    mpki                             |       0.07 |       0.06
  Cache L3                           |            |           
    num cache accesses               |        104 |         86
    num cache misses                 |         99 |         80
    miss rate                        |     95.19% |     93.02%
    mpki                             |       0.07 |       0.06
DRAM summary                         |            |           
  num dram accesses                  |        162 |          0
  average dram access latency (ns)   |     156.27 |        inf
  average dram queueing delay        |     102.84 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |         39 |         30
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
